"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 10:14:30,30.2 GiB,29.8 GiB,30.8 GiB,28.8 GiB,30.8 GiB,30.3 GiB,30.8 GiB,5.68 GiB,30.0 GiB,3.89 GiB,30.6 GiB,30.1 GiB,28.8 GiB,28.7 GiB
2025-05-13 10:15:00,30.3 GiB,31.0 GiB,30.0 GiB,29.8 GiB,30.6 GiB,30.4 GiB,30.3 GiB,6.01 GiB,29.5 GiB,3.68 GiB,30.7 GiB,29.3 GiB,30.8 GiB,29.5 GiB
2025-05-13 10:15:30,30.4 GiB,31.0 GiB,30.1 GiB,31.0 GiB,30.6 GiB,30.5 GiB,29.7 GiB,5.71 GiB,29.7 GiB,3.85 GiB,30.9 GiB,30.8 GiB,30.2 GiB,28.9 GiB
2025-05-13 10:16:00,30.6 GiB,31.0 GiB,30.5 GiB,30.9 GiB,30.7 GiB,30.8 GiB,29.8 GiB,5.59 GiB,30.4 GiB,3.62 GiB,30.9 GiB,28.4 GiB,28.9 GiB,30.3 GiB
2025-05-13 10:16:30,30.7 GiB,31.0 GiB,30.8 GiB,30.8 GiB,30.8 GiB,30.8 GiB,29.8 GiB,5.62 GiB,30.7 GiB,3.92 GiB,30.9 GiB,30.3 GiB,28.4 GiB,29.3 GiB
2025-05-13 10:17:00,30.8 GiB,30.9 GiB,30.9 GiB,,30.8 GiB,30.8 GiB,30.8 GiB,7.25 GiB,30.8 GiB,5.53 GiB,30.9 GiB,30.4 GiB,30.8 GiB,29.6 GiB
2025-05-13 10:17:30,30.8 GiB,30.9 GiB,,15.2 GiB,30.8 GiB,30.8 GiB,30.8 GiB,6.74 GiB,30.8 GiB,4.82 GiB,30.9 GiB,30.0 GiB,30.1 GiB,30.0 GiB
2025-05-13 10:18:00,30.8 GiB,30.9 GiB,,17.3 GiB,30.8 GiB,30.8 GiB,30.8 GiB,5.81 GiB,30.8 GiB,3.67 GiB,30.8 GiB,30.2 GiB,28.9 GiB,30.1 GiB
2025-05-13 10:18:30,30.8 GiB,30.8 GiB,,21.2 GiB,30.8 GiB,30.8 GiB,30.8 GiB,5.82 GiB,30.8 GiB,3.72 GiB,30.8 GiB,30.8 GiB,30.1 GiB,30.9 GiB
2025-05-13 10:19:00,30.8 GiB,30.8 GiB,,25.1 GiB,30.8 GiB,30.8 GiB,30.8 GiB,5.78 GiB,30.8 GiB,3.77 GiB,30.8 GiB,28.8 GiB,30.0 GiB,28.1 GiB
