"Time","mimir-ingester-zone-b-5","mimir-ingester-zone-b-3","mimir-ingester-zone-c-0","mimir-ingester-zone-c-4","mimir-ingester-zone-b-4","mimir-ingester-zone-b-0","mimir-ingester-zone-c-5","mimir-ingester-zone-c-3","mimir-ingester-zone-b-2","mimir-ingester-zone-b-1","mimir-ingester-zone-a-4","mimir-ingester-zone-a-3","mimir-ingester-zone-c-1","mimir-ingester-zone-c-2","mimir-ingester-zone-a-0","mimir-ingester-zone-a-1","mimir-ingester-zone-a-2","mimir-ingester-zone-a-5"
2025-05-13 10:06:00,8693567,8910497,9045778,8055837,8779898,8986858,8158682,9244843,8755700,8606873,8991952,8663281,8769011,9341087,8950008,8933447,9316989,7799396
2025-05-13 10:06:30,8745955,8979761,9104932,8105324,8833166,9041880,8208169,9301595,8809648,8661031,9047308,8715916,8824728,9399775,9004881,8987451,9374236,7848601
2025-05-13 10:07:00,9023232,9399936,9205340,8209213,9109542,9382090,8419114,9544079,9105918,8830649,9181164,8987533,8926171,9504604,9245339,9111973,9690605,7966712
2025-05-13 10:07:30,9747184,10162117,9720831,8691011,9841432,10152544,9078554,10295602,9849006,9494808,9809287,9709483,8991947,9619456,9970835,9687529,10482576,8535578
2025-05-13 10:08:00,10187728,10454380,10460361,9341531,10290231,10538818,9558032,10834666,10266015,10069449,10493193,10155129,8998005,9637458,10485259,10399554,10925160,9105912
2025-05-13 10:08:30,10263066,10507422,10680004,9510881,10367543,10601861,9639080,10923236,10333863,10176815,10620868,10231628,9166566,9796908,10568317,10548622,10997402,9212833
2025-05-13 10:09:00,10293362,10541927,10727455,9549282,10397271,10636020,9663843,10951515,10365905,10202261,10659664,10259852,9388747,,10595392,10588393,11031981,9244812
2025-05-13 10:09:30,10326662,10572240,10763375,9580828,10431509,10667970,9697484,10989758,10398377,10241100,10699256,10294245,9485881,,10632601,10625719,11066177,9280604
2025-05-13 10:10:00,10344637,10591297,10794278,9608332,10450336,10686978,9716207,11011270,10416218,10260009,10724056,10312312,9509520,10057149,10653172,10654644,11085107,9300501
2025-05-13 10:10:30,10432607,10692598,10830460,9648984,10538846,10784933,9795371,11102363,10507137,10338994,10772618,10392678,9658367,10215361,10676479,10671725,11182409,9356698
2025-05-13 10:11:00,10519299,10798825,10926715,9729777,10626479,10879507,9871483,11188305,10595054,10413521,10860655,10479659,9949653,10546472,10773285,10710670,11276004,9430105
2025-05-13 10:11:30,10617654,10885226,11039667,9832181,10725625,10975477,9970181,11298948,10693304,10524353,10981421,10578745,10624990,11312430,10887387,10855302,11380683,9532589
2025-05-13 10:12:00,10684616,10952618,11116867,9896248,10791914,11043832,10025642,11362725,10761867,10579471,11043220,10646850,10741464,11443759,10967206,10931248,11453318,9585428
2025-05-13 10:12:30,10747010,11004937,11189847,9966243,10857540,11105267,10093549,11439445,10822185,10657089,11130861,10713358,,,11052032,11038458,11517953,9655020
2025-05-13 10:13:00,10758229,11010427,11234795,10000436,10868992,11115338,10105938,11453617,10832269,10676198,,10724571,10794249,0,11067626,11075393,11528898,9678497
2025-05-13 10:13:30,10758229,11010427,11236983,10001650,10868992,11115338,10105938,11453617,10832269,10676198,0,10724571,10794264,0,11067626,11075393,11528898,9678497
2025-05-13 10:14:00,10760114,11028416,11236983,10001650,10869575,11121541,10105938,11453887,10836251,10676198,0,10725160,10794264,0,11068214,11075393,11533133,9678497
2025-05-13 10:14:30,10839756,11108832,11273642,10037735,10951605,11205744,10177866,11535418,10916162,10739943,11210776,10806490,10869551,11505656,11146886,11120910,11618082,9724813
2025-05-13 10:15:00,10899644,11162880,11345707,10102593,11012122,11263562,10234807,11601168,10976100,10803271,11283641,10866446,10954138,11621072,11211465,11193469,11681765,9788947
2025-05-13 10:15:30,10947940,11220262,11402207,10148794,11061016,11321378,10279499,11654749,11027042,10854510,11337945,10915325,11018387,11714185,11268332,11249315,11736081,9834119
2025-05-13 10:16:00,10990417,11253299,11463777,10206442,11103718,11357479,10323171,11700579,11067287,10903808,11394263,10957277,11081424,11796483,11315155,11314446,11778958,9881847
2025-05-13 10:16:30,11039648,11310185,11492873,10231161,11152060,11413445,10363806,11746469,11118580,10939954,11427207,11004778,11118620,11840567,11361404,11346286,11834111,9910928
2025-05-13 10:17:00,11094329,11366421,11551253,10285322,11208664,11466542,10419592,11810198,11174171,11000330,11488141,11061406,11155341,,11423226,11408672,11892027,9963376
2025-05-13 10:17:30,11123497,11399166,11604358,10328882,11238449,11500644,10447195,11841174,11204715,11034978,11530717,11090858,11157926,,11453565,11452080,11925040,9999632
2025-05-13 10:18:00,11166977,11440261,11640128,10365859,11282336,11543273,10487827,11887525,11248312,11074804,11571819,11133754,11200757,0,11497940,11495254,11971677,10035871
2025-05-13 10:18:30,11205460,11479561,11680641,10399969,11321237,11583155,10525707,11929699,11287481,11116944,11613242,11172023,11254538,0,11539703,11535489,12013346,10073273
