"Time","prom-ring-metamonitoring-8b625-qgvl5","prom-ring-mimir-c9v8w-49rdv","prom-ring-mimir-c9v8w-5jgfl","prom-ring-mimir-c9v8w-68tx8","prom-ring-mimir-c9v8w-7bzlr","prom-ring-mimir-c9v8w-8g5px","prom-ring-mimir-c9v8w-8zwl2","prom-ring-mimir-c9v8w-9x2nw","prom-ring-mimir-c9v8w-ckkk8","prom-ring-mimir-c9v8w-dfslj","prom-ring-mimir-c9v8w-fgspk","prom-ring-mimir-c9v8w-pgnn8","prom-ring-mimir-c9v8w-qm9s5"
2025-05-13 10:12:00,704 MiB,15.9 GiB,14.4 GiB,14.8 GiB,,15.6 GiB,14.0 GiB,14.7 GiB,14.8 GiB,14.4 GiB,14.8 GiB,704 MiB,682 MiB
2025-05-13 10:12:30,1.82 GiB,16.0 GiB,14.4 GiB,15.5 GiB,16.4 GiB,16.3 GiB,14.5 GiB,15.4 GiB,14.8 GiB,15.0 GiB,15.5 GiB,1.82 GiB,1.75 GiB
2025-05-13 10:13:00,1.77 GiB,16.0 GiB,14.5 GiB,15.5 GiB,14.3 GiB,16.3 GiB,14.7 GiB,14.9 GiB,14.8 GiB,15.2 GiB,15.5 GiB,1.77 GiB,1.70 GiB
2025-05-13 10:13:30,1.45 GiB,16.0 GiB,14.6 GiB,15.5 GiB,14.3 GiB,16.3 GiB,14.7 GiB,14.9 GiB,14.8 GiB,15.2 GiB,15.5 GiB,1.45 GiB,1.15 GiB
2025-05-13 10:14:00,1.45 GiB,16.0 GiB,14.6 GiB,15.5 GiB,14.3 GiB,16.3 GiB,14.7 GiB,14.9 GiB,14.8 GiB,15.2 GiB,15.5 GiB,1.45 GiB,220 MiB
2025-05-13 10:14:30,566 MiB,16.0 GiB,14.6 GiB,15.5 GiB,14.3 GiB,16.3 GiB,14.7 GiB,14.9 GiB,14.8 GiB,15.2 GiB,15.5 GiB,566 MiB,609 MiB
2025-05-13 10:15:00,939 MiB,16.0 GiB,14.6 GiB,14.9 GiB,14.3 GiB,16.3 GiB,14.7 GiB,14.8 GiB,14.8 GiB,15.2 GiB,14.9 GiB,939 MiB,356 MiB
2025-05-13 10:15:30,620 MiB,16.0 GiB,14.6 GiB,14.9 GiB,14.3 GiB,16.3 GiB,14.7 GiB,14.4 GiB,14.8 GiB,15.2 GiB,14.9 GiB,620 MiB,520 MiB
2025-05-13 10:16:00,354 MiB,16.0 GiB,14.6 GiB,14.9 GiB,14.9 GiB,16.3 GiB,14.7 GiB,14.5 GiB,14.8 GiB,15.2 GiB,14.9 GiB,354 MiB,246 MiB
2025-05-13 10:16:30,609 MiB,16.0 GiB,14.8 GiB,15.1 GiB,,16.3 GiB,14.7 GiB,14.5 GiB,14.9 GiB,15.2 GiB,15.1 GiB,609 MiB,498 MiB
2025-05-13 10:17:00,1.99 GiB,16.0 GiB,15.2 GiB,15.5 GiB,16.1 GiB,16.3 GiB,14.7 GiB,14.5 GiB,14.9 GiB,15.2 GiB,15.5 GiB,1.99 GiB,2.20 GiB
2025-05-13 10:17:30,1.44 GiB,16.0 GiB,15.2 GiB,15.8 GiB,14.3 GiB,16.3 GiB,14.7 GiB,14.8 GiB,14.9 GiB,15.2 GiB,15.8 GiB,1.44 GiB,1.49 GiB
2025-05-13 10:18:00,564 MiB,16.0 GiB,15.2 GiB,15.8 GiB,14.3 GiB,16.3 GiB,15.0 GiB,14.8 GiB,14.9 GiB,,15.8 GiB,564 MiB,361 MiB
2025-05-13 10:18:30,604 MiB,16.0 GiB,15.2 GiB,15.8 GiB,14.5 GiB,16.3 GiB,15.2 GiB,14.8 GiB,14.9 GiB,,15.8 GiB,604 MiB,371 MiB
2025-05-13 10:19:00,605 MiB,16.0 GiB,15.2 GiB,15.8 GiB,14.5 GiB,16.3 GiB,15.2 GiB,14.8 GiB,14.9 GiB,15.2 GiB,15.8 GiB,605 MiB,454 MiB
2025-05-13 10:19:30,597 MiB,16.0 GiB,15.2 GiB,15.8 GiB,14.5 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,597 MiB,1.85 GiB
2025-05-13 10:20:00,1.24 GiB,16.0 GiB,15.2 GiB,15.8 GiB,14.5 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,1.24 GiB,1.83 GiB
2025-05-13 10:20:30,1.87 GiB,16.0 GiB,15.2 GiB,15.8 GiB,14.5 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,1.87 GiB,1.97 GiB
2025-05-13 10:21:00,1.17 GiB,16.0 GiB,15.2 GiB,15.8 GiB,14.9 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,1.17 GiB,1.30 GiB
2025-05-13 10:21:30,2.16 GiB,16.0 GiB,15.2 GiB,15.8 GiB,15.3 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,,15.8 GiB,2.16 GiB,1.86 GiB
2025-05-13 10:22:00,1.60 GiB,16.0 GiB,15.2 GiB,15.8 GiB,15.3 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,1.60 GiB,1.51 GiB
2025-05-13 10:22:30,605 MiB,16.0 GiB,15.2 GiB,15.8 GiB,16.0 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,605 MiB,526 MiB
2025-05-13 10:23:00,639 MiB,16.0 GiB,15.2 GiB,15.8 GiB,16.2 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,639 MiB,478 MiB
2025-05-13 10:23:30,634 MiB,16.0 GiB,15.2 GiB,15.8 GiB,16.6 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,634 MiB,576 MiB
2025-05-13 10:24:00,1000 MiB,16.0 GiB,15.2 GiB,15.8 GiB,16.9 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,1000 MiB,1.68 GiB
2025-05-13 10:24:30,1.95 GiB,16.0 GiB,15.2 GiB,15.8 GiB,16.9 GiB,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,1.95 GiB,1.85 GiB
2025-05-13 10:25:00,2.32 GiB,16.0 GiB,15.2 GiB,15.8 GiB,,16.3 GiB,15.2 GiB,14.8 GiB,15.0 GiB,15.2 GiB,15.8 GiB,2.32 GiB,1.80 GiB
