"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.17:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.44:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:36:00,15.3 MiB,27.6 MiB,34.3 MiB,30.3 MiB,121 MiB,35.3 MiB,20.0 MiB,224 MiB,221 MiB,85.2 MiB,88.3 MiB,88.4 MiB
2025-05-13 02:36:30,29.9 MiB,51.2 MiB,37.1 MiB,52.0 MiB,153 MiB,49.5 MiB,27.4 MiB,389 MiB,242 MiB,91.2 MiB,79.7 MiB,90.4 MiB
2025-05-13 02:37:00,28.3 MiB,55.6 MiB,57.7 MiB,56.6 MiB,136 MiB,54.8 MiB,31.3 MiB,373 MiB,403 MiB,86.6 MiB,82.4 MiB,87.7 MiB
2025-05-13 02:37:30,17.0 MiB,42.0 MiB,53.1 MiB,119 MiB,115 MiB,33.4 MiB,19.2 MiB,,348 MiB,85.7 MiB,81.1 MiB,88.9 MiB
2025-05-13 02:38:00,4.29 MiB,11.2 MiB,26.2 MiB,178 MiB,32.0 MiB,6.25 MiB,4.29 MiB,,166 MiB,76.8 MiB,79.3 MiB,84.7 MiB
2025-05-13 02:38:30,1.87 MiB,6.60 MiB,6.00 MiB,158 MiB,24.5 MiB,3.69 MiB,2.40 MiB,,43.1 MiB,84.3 MiB,78.9 MiB,80.5 MiB
2025-05-13 02:39:00,243 KiB,696 KiB,2.29 MiB,142 MiB,1.45 MiB,334 KiB,234 KiB,,13.1 MiB,75.0 MiB,77.8 MiB,78.2 MiB
2025-05-13 02:39:30,35.0 MiB,28.4 MiB,358 KiB,49.5 MiB,192 MiB,49.0 MiB,32.9 MiB,352 MiB,2.08 MiB,101 MiB,90.7 MiB,84.9 MiB
2025-05-13 02:40:00,37.9 MiB,55.9 MiB,57.1 MiB,58.5 MiB,166 MiB,62.5 MiB,41.2 MiB,446 MiB,372 MiB,84.5 MiB,88.6 MiB,96.2 MiB
2025-05-13 02:40:30,39.4 MiB,71.9 MiB,72.6 MiB,76.0 MiB,160 MiB,72.9 MiB,46.3 MiB,494 MiB,491 MiB,90.5 MiB,90.4 MiB,88.8 MiB
2025-05-13 02:41:00,9.14 MiB,38.6 MiB,,18.0 MiB,110 MiB,10.9 MiB,9.65 MiB,40.7 MiB,452 MiB,86.0 MiB,93.3 MiB,92.6 MiB
2025-05-13 02:41:30,3.87 MiB,6.10 MiB,,3.34 MiB,74.4 MiB,6.75 MiB,5.32 MiB,29.2 MiB,40.8 MiB,89.1 MiB,81.8 MiB,88.6 MiB
2025-05-13 02:42:00,18.2 MiB,17.7 MiB,6.92 MiB,26.5 MiB,103 MiB,25.6 MiB,22.4 MiB,208 MiB,37.0 MiB,82.4 MiB,93.1 MiB,89.3 MiB
2025-05-13 02:42:30,28.3 MiB,43.5 MiB,34.9 MiB,47.0 MiB,123 MiB,42.2 MiB,23.3 MiB,313 MiB,233 MiB,85.4 MiB,87.1 MiB,85.7 MiB
2025-05-13 02:43:00,31.5 MiB,47.4 MiB,44.1 MiB,55.0 MiB,155 MiB,58.6 MiB,32.6 MiB,394 MiB,321 MiB,93.7 MiB,86.5 MiB,93.5 MiB
2025-05-13 02:43:30,25.3 MiB,47.7 MiB,56.4 MiB,45.6 MiB,123 MiB,42.5 MiB,24.5 MiB,308 MiB,368 MiB,84.9 MiB,90.5 MiB,94.8 MiB
2025-05-13 02:44:00,6.18 MiB,24.7 MiB,42.6 MiB,9.41 MiB,91.3 MiB,12.7 MiB,7.33 MiB,34.7 MiB,284 MiB,83.2 MiB,89.7 MiB,87.0 MiB
2025-05-13 02:44:30,5.13 MiB,7.11 MiB,7.31 MiB,5.51 MiB,75.5 MiB,5.51 MiB,9.12 MiB,17.4 MiB,20.6 MiB,89.4 MiB,87.3 MiB,89.4 MiB
2025-05-13 02:45:00,3.46 MiB,6.51 MiB,8.07 MiB,3.92 MiB,75.9 MiB,5.22 MiB,3.74 MiB,19.8 MiB,19.7 MiB,87.7 MiB,88.7 MiB,93.3 MiB
